Nombre,Neuronas_ocultas,Init_func,Pesado_terminos,Terminos,Prepocesamiento,Learnin_rate,Batch_size,Precision_score,Recall_score,F1_score,Accuracy
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.1,16,0.706712637522037,0.6500907382202346,0.6407516991775222,0.678
hateval_es,1024,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,16,0.6777777777777778,0.645181152375397,0.6406241881570516,0.668
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",None,0.01,64,0.7451923076923077,0.7330351934668482,0.7354278627532038,0.744
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,16,0.7578701264488936,0.7537753580919049,0.7552019583843329,0.76
hateval_es,128,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.1,32,0.7088566827697262,0.7101561993648324,0.7093211032879012,0.712
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.01,16,0.7329411764705882,0.6203091580789423,0.5904995904995906,0.658
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.1,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,16,0.222,0.5,0.3074792243767313,0.444
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,32,0.7388697939358733,0.7398567632380582,0.7392875476457059,0.742
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.5,16,0.222,0.5,0.3074792243767313,0.444
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.5,32,0.222,0.5,0.3074792243767313,0.444
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.01,32,0.5847580280416101,0.5759122431784303,0.5721469791047544,0.594
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.1,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,32,0.734856292224894,0.7326301121265151,0.7334960838164988,0.738
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.01,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.5,64,0.278,0.5,0.35732647814910024,0.556
