[2025-11-21 23:41:19] Experimento #1: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.7054544242922354}
[2025-11-21 23:43:30] Experimento #2: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.7350481071411303}
[2025-11-21 23:44:56] Experimento #3: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.7179377876625583}
[2025-11-21 23:46:51] Experimento #4: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.7239763669921533}
[2025-11-21 23:49:25] Experimento #5: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.7234790523427606}
[2025-11-21 23:52:21] Experimento #6: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.7187273077550053}
[2025-11-21 23:54:43] Experimento #7: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7373618959648327}
[2025-11-21 23:56:00] Experimento #8: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.0001, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.7587759257370874}
[2025-11-21 23:57:20] Experimento #9: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8111894042730633}
[2025-11-21 23:58:50] Experimento #10: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8085293725263485}
[2025-11-22 00:00:39] Experimento #11: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8075657061832178}
[2025-11-22 00:03:21] Experimento #12: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8070914501941451}
[2025-11-22 00:05:03] Experimento #13: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8012911326707689}
[2025-11-22 00:07:30] Experimento #14: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8113043091564015}
[2025-11-22 00:10:10] Experimento #15: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7987267588461858}
[2025-11-22 00:11:51] Experimento #16: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.001, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.810682893847194}
[2025-11-22 00:14:26] Experimento #17: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8201741863059273}
[2025-11-22 00:18:12] Experimento #18: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8107062597983778}
[2025-11-22 00:20:56] Experimento #19: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8069139653187776}
[2025-11-22 00:23:45] Experimento #20: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8172705588368923}
[2025-11-22 00:26:13] Experimento #21: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8162129867860615}
[2025-11-22 00:28:19] Experimento #22: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8145672772489638}
[2025-11-22 00:29:43] Experimento #23: Config={'capas': [1024, 1024, 1024], 'batch_size': 24, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8054808944553742}
